FIRST_ID,SECOND_ID,SIMILARITY
28,13,"0,0716"
27,30,"0,0713"
30,27,"0,0713"
7,49,"0,0711"
49,7,"0,0711"
27,43,"0,0711"
43,27,"0,0711"
13,49,"0,0710"
49,13,"0,0710"
13,41,"0,0709"
41,13,"0,0709"
17,29,"0,0706"
29,17,"0,0706"
27,36,"0,0705"
36,27,"0,0705"
9,45,"0,0704"
45,9,"0,0704"
12,19,"0,0700"
19,12,"0,0700"
23,43,"0,0697"
43,23,"0,0697"
1,37,"0,0696"
37,1,"0,0696"
7,10,"0,0696"
10,7,"0,0696"
4,34,"0,0693"
34,4,"0,0693"
37,39,"0,0692"
39,37,"0,0692"
10,13,"0,0692"
13,10,"0,0692"
8,49,"0,0689"
49,8,"0,0689"
22,37,"0,0685"
37,22,"0,0685"
15,42,"0,0680"
42,15,"0,0680"
12,16,"0,0677"
16,12,"0,0677"
19,43,"0,0669"
43,19,"0,0669"
1,13,"0,0666"
13,1,"0,0666"
15,21,"0,0663"
21,15,"0,0663"
5,11,"0,0661"
11,5,"0,0661"
4,44,"0,0661"
44,4,"0,0661"
25,28,"0,0658"
28,25,"0,0658"
14,18,"0,0657"
18,14,"0,0657"
16,34,"0,0656"
34,16,"0,0656"
16,29,"0,0655"
29,16,"0,0655"
5,31,"0,0655"
31,5,"0,0655"
2,41,"0,0653"
41,2,"0,0653"
19,25,"0,0652"
25,19,"0,0652"
31,49,"0,0652"
49,31,"0,0652"
33,37,"0,0647"
37,33,"0,0647"
14,44,"0,0646"
44,14,"0,0646"
12,25,"0,0641"
25,12,"0,0641"
26,28,"0,0640"
28,26,"0,0640"
4,8,"0,0639"
8,4,"0,0639"
33,38,"0,0638"
38,33,"0,0638"
22,34,"0,0636"
34,22,"0,0636"
12,32,"0,0635"
32,12,"0,0635"
11,27,"0,0631"
27,11,"0,0631"
11,34,"0,0630"
34,11,"0,0630"
8,22,"0,0627"
22,8,"0,0627"
13,21,"0,0625"
21,13,"0,0625"
16,50,"0,0621"
50,16,"0,0621"
16,40,"0,0620"
40,16,"0,0620"
32,35,"0,0620"
35,32,"0,0620"
8,48,"0,0619"
48,8,"0,0619"
13,14,"0,0618"
14,13,"0,0618"
28,29,"0,0618"
29,28,"0,0618"
10,30,"0,0617"
30,10,"0,0617"
43,49,"0,0616"
49,43,"0,0616"
36,49,"0,0611"
49,36,"0,0611"
4,46,"0,0610"
46,4,"0,0610"
20,22,"0,0609"
22,20,"0,0609"
29,39,"0,0608"
39,29,"0,0608"
19,40,"0,0608"
40,19,"0,0608"
23,27,"0,0605"
27,23,"0,0605"
12,18,"0,0605"
18,12,"0,0605"
22,46,"0,0598"
46,22,"0,0598"
17,33,"0,0594"
33,17,"0,0594"
10,42,"0,0591"
42,10,"0,0591"
6,20,"0,0590"
20,6,"0,0590"
6,28,"0,0589"
28,6,"0,0589"
13,39,"0,0589"
39,13,"0,0589"
16,30,"0,0587"
30,16,"0,0587"
15,27,"0,0587"
27,15,"0,0587"
21,30,"0,0585"
30,21,"0,0585"
13,32,"0,0584"
32,13,"0,0584"
18,35,"0,0582"
35,18,"0,0582"
41,42,"0,0581"
42,41,"0,0581"
11,39,"0,0581"
39,11,"0,0581"
12,36,"0,0579"
36,12,"0,0579"
7,32,"0,0577"
32,7,"0,0577"
28,33,"0,0573"
33,28,"0,0573"
28,32,"0,0572"
32,28,"0,0572"
20,45,"0,0571"
45,20,"0,0571"
11,36,"0,0570"
36,11,"0,0570"
28,45,"0,0569"
45,28,"0,0569"
11,28,"0,0569"
28,11,"0,0569"
8,21,"0,0569"
21,8,"0,0569"
14,31,"0,0568"
31,14,"0,0568"
16,33,"0,0563"
33,16,"0,0563"
39,41,"0,0561"
41,39,"0,0561"
10,44,"0,0560"
44,10,"0,0560"
15,22,"0,0558"
22,15,"0,0558"
36,39,"0,0557"
39,36,"0,0557"
1,3,"0,0556"
3,1,"0,0556"
20,48,"0,0547"
48,20,"0,0547"
21,46,"0,0543"
46,21,"0,0543"
3,32,"0,0542"
32,3,"0,0542"
31,37,"0,0541"
37,31,"0,0541"
32,49,"0,0540"
49,32,"0,0540"
31,33,"0,0538"
33,31,"0,0538"
1,39,"0,0537"
39,1,"0,0537"
